Year,Adjusted Minimum Wage
1963,9.52
1964,9.39
1965,9.24
1966,8.99
1967,9.76
1968,10.71
1969,10.16
1970,9.61
1971,9.2
1972,8.92
1973,8.39
1974,7.56
1975,9.09
1976,9.42
1977,8.84
1978,8.22
1979,9.31
1980,8.76
1981,8.59
1982,8.09
1983,7.84
1984,7.51
1985,7.25
1986,7.12
1987,6.87
1988,6.6
1989,6.29
1990,6.77
1991,7.27
1992,7.06
1993,6.85
1994,6.68
1995,6.5
1996,7.05
1997,7.47
1998,7.36
1999,7.2
2000,6.97
2001,6.77
2002,6.67
2003,6.52
2004,6.35
2005,6.14
2006,5.95
2007,6.57
2008,7.09
2009,7.87
2010,7.75
2011,7.51
2012,7.36
2013,7.25
